date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-02-26,Romania,1,0,1,0,1,2020,2,26,2,0,1,0.0,,,1.0,0.0,0.0,0.0,1.2944146009966992e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-27,Romania,1,0,0,0,1,2020,2,27,3,0,1,0.0,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-02-28,Romania,3,0,2,0,1,2020,2,28,4,0,1,0.0,,,1.0,0.0,4.6617243065568553e-07,0.0,2.5888292019933984e-05,0.0,0.0,,,1.4855088610603563e-05,0.0
2020-02-29,Romania,3,0,0,0,1,2020,2,29,5,1,1,0.0,,,0.75,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,1.1141316457952671e-05,0.0
2020-03-01,Romania,3,0,0,0,1,2020,3,1,6,1,1,0.0,,,0.6,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,8.913053166362137e-06,0.0
2020-03-02,Romania,3,0,0,0,1,2020,3,2,0,0,1,0.0,,,0.5,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,7.4275443053017815e-06,0.0
2020-03-03,Romania,3,0,0,0,1,2020,3,3,1,0,1,0.0,,,0.42857142857142855,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,,,6.3664665474015265e-06,0.0
2020-03-04,Romania,4,0,1,0,1,2020,3,4,2,0,1,0.0,3.0,,0.42857142857142855,0.0,6.992586459835282e-07,0.0,1.2944146009966992e-05,0.0,0.0,0.01652985336420403,,6.3664665474015265e-06,0.0
2020-03-05,Romania,6,0,2,0,1,2020,3,5,3,0,1,0.0,5.0,,0.7142857142857143,0.0,1.1654310766392138e-06,0.0,2.5888292019933984e-05,0.0,0.0,0.025706868729390302,,1.0610777579002545e-05,0.0
2020-03-06,Romania,9,0,3,0,1,2020,3,6,4,0,1,0.0,2.0,,0.8571428571428571,0.0,1.8646897226227421e-06,0.0,3.8832438029900976e-05,0.0,0.0,0.01194134568161089,,1.2732933094803053e-05,0.0
2020-03-07,Romania,9,0,0,0,1,2020,3,7,5,1,1,0.0,2.0,,0.8571428571428571,0.0,1.8646897226227421e-06,0.0,0.0,0.0,0.0,0.01194134568161089,,1.2732933094803053e-05,0.0
